1,academic,có tính học thuật
2,vocational,hướng nghiệp
3,course,khóa học
4,analytical,thuộc phân tích
5,bachelor's degree,bằng cử nhân
6,undergraduate,sinh viên chưa tốt nghiệp
7,postgraduate,nghiên cứu sinh/sau đại học
8,master's degree,bằng thạc sĩ
9,doctoral,thuộc tiến sĩ
10,qualification,phẩm chất/năng lực
11,abroad,nước ngoài
12,scholarship,học bổng
13,major,chuyên ngành
14,internship,thực tập
15,CV,lý lịch
16,institution,cơ quan/thể chế/cơ sở
17,profession,nghề/nghề nghiệp
18,administration,sự quản lí/sự thi hành
19,proposal,dự kiến/kế hoạch
20,specialise,chuyên môn hóa
21,pursue,theo đuổi
22,analyse,phân tích
23,further,xa hơn/thêm
24,faculty,khoa
25,project,dự án/công trình nghiên cứu
26,professor,giáo sư/giảng viên
27,report,báo cáo
28,requirement,thủ tục
29,foundation,trường tư
30,research,sự nghiên cứu
31,entrance,sự kết nạp/quyền gia nhập
32,baccalaureate,kỳ thi tốt nghiệp(trường phổ thông)
33,diploma,bằng cấp/văn bằng
34,certificate,chứng chỉ
35,advanced,tiên tiến
36,examination,cuộc thi
37,respectively,theo thứ tự
38,mandatory,có tính bắt buộc
39,broaden,mở rộng
40,interaction,sự tương tác
41,require,yêu cầu
42,appreciate,đánh giá cao
43,partnership,sự cộng tác
44,compulsory,bắt buộc
45,mother tongue,tiếng mẹ đẻ
46,distance learning,học từ xa
47,engineering,công việc kĩ sư
48,credit-based learning,học theo tín chỉ
49,cloud-based learning,học trực tuyến
50,data,dữ liệu
51,material,tài liệu
52,tutor,gia sư
53,career-based,học nghề
54,tuition fees,học phí
55,campus-based,đào tạo tập trung
56,simultaneously,đồng thời
57,flexibility,tính linh hoạt
58,availability,sự có giá trị/sự có sẵn
59,attendance,sự có mặt
60,coordinator,điều phối viên
61,housing,nhà ở
62,eligible,đủ tư cách
63,consult,tham khảo
64,transcript,bản sao
65,accommodation,phòng ở
66,salutation,lời chào
67,passion,sự đam mê
68,standardise,tiêu chuẩn hoá
69,polytechnic,trường bách khoa
70,direct,trực tiếp
71,admission,sự nhận vào/được nhận vào
72,post-secondary,sau trung học/tốt nghiệp cấp 2
73,pre-university,tiền đại học/dự bị đại học
74,collaboration,sự cộng tác
75,technical,thuộc kỹ thuật
76,fund,quỹ
77,enroll,kết nạp
78,potential,tiềm năng
